Banka,Kategori,Sayfa Başlığı,URL,İçerik Yapısı,HTTP Durumu,PDF,Kampanya Sayısı (arşiv toplamı),Kısa ama Geçerli,Kim Aldı,Son Kontrol,Not
Kuveyt Türk,Kampanyalar (liste),Kampanyalar - Kendim İçin,https://www.kuveytturk.com.tr/kampanyalar/kendim-icin,HTML,200,Hayır,13,0,Zeynep,2026-08-11,".campaign-detail seçicisi temiz metin veriyor, cookie/nav sızıntısı yok. 31 Tem - 11 Ağu arası 4 kez tarandı (delta kontrolü ile)"
Albaraka Türk,Kampanyalar (liste),Kampanyalar,https://www.albaraka.com.tr/tr/kampanyalar,HTML,200,Hayır,16,0,Zeynep,2026-08-11,"DİKKAT: liste sayfasındaki Facebook/Twitter paylaşım linkleri gerçek detay URL'sini query string içinde tekrarlıyor - domain filtresiyle otomatik ayıklandı. .searchContent seçicisi doğrulandı. Bir sayfada gerçek kâr payı oranı tablosu bulundu"
Albaraka Türk,Kampanya detayı (hâlâ atlanıyor),Albaraka'da Masraflara Son,https://www.albaraka.com.tr/tr/kampanyalar/detay/albarakada-masraflara-son,HTML,200,Hayır,0,—,Zeynep,2026-08-11,"Doğrulama BAŞARISIZ: anahtar kelime yok - kampanya değil, ücret bilgilendirme sayfası. Kasıtlı atlanıyor (Verifier'ın 9 Ağustos'taki genel taramasında da teyit edildi)"
Vakıf Katılım,Kampanyalar (liste),Mevcut Kampanyalar,https://www.vakifkatilim.com.tr/tr/kendim-icin/kampanyalar/mevcut-kampanyalar,HTML,200,Hayır,3,1,Zeynep,2026-08-06,"Diğer bankalara göre çok daha az kampanya - gözle doğrulandı gerçekten içerik-fakir. .mask-area seçicisi doğrulandı"
Türkiye Finans,Kampanyalar (liste),Finansman/Kart/Ödeme/vb. Kampanyaları,https://www.turkiyefinans.com.tr/tr-tr/kampanyalar/Sayfalar/*.aspx,HTML,200,Hayır,16,8,Zeynep,2026-08-06,"ASPX/SharePoint sitesi, HTML statik doğrulandı. #content seçicisi. 6 Ağustos'taki 'kısa ama geçerli' eşik düzeltmesiyle kategori/index sayfaları da (150-999 karakter) artık kaydediliyor, icerik_kalitesi=kisa etiketiyle"
Ziraat Katılım,Kampanyalar (liste),Kart Kampanyaları,https://www.ziraatkatilim.com.tr/kart-kampanyalari,HTML,200,Hayır,90,33,Zeynep,2026-08-11,"/bireysel/kampanyalar DEĞİL, /kart-kampanyalari kullanıldı (~70-75 kampanya, doğrulandı). ?IsArchived=true'lu linkler filtrelendi. .body-content seçicisi. 'Kısa ama geçerli' eşiği sayesinde önceden elenen ~32 kısa 'X taksit' kampanyası da artık kaydediliyor"
Türkiye Emlak Katılım,Kampanyalar (liste),Kampanyalar,https://www.emlakkatilim.com.tr/tr/bireysel/kampanyalar,HTML,200,Hayır,100,26,Zeynep,2026-08-11,"DİKKAT: turkiyeemlak.com.tr YANLIŞ domain, doğrusu emlakkatilim.com.tr. .o-page__content seçicisi. Altın Veri Seti'ndeki 7 TEK kaydının 7'si hâlâ canlı (%100 eşleşme)"
Dünya Katılım,Kampanyalar (liste),Kampanyalar,https://www.dunyakatilim.com.tr/kampanyalar,HTML,200,Hayır,10,0,Zeynep,2026-08-06,"main seçicisi kullanıldı, küçük banka - tüm kampanyalar 1000 karakter eşiğini zaten rahatça geçiyor"
Hayat Finans,Kampanyalar (liste),Kampanyalar,https://hayatfinans.com.tr/kampanyalar,HTML,200,Hayır,12,2,Zeynep,2026-08-11,"DİKKAT: www'suz domain kullanılmalı. Next.js/SSR ama içerik ham HTML'de, Playwright gerekmedi. main seçicisi"
T.O.M. Katılım,"Kampanyalar (tek sayfa, 3 accordion)",Kampanyalar,https://www.tombank.com.tr/kampanyalar.html,HTML,200,Hayır,3,0,Zeynep,2026-08-01,"FARKLI YAPI: ayrı detay URL'si yok, 3 kampanya tek sayfada Bootstrap accordion'da - tek_sayfa_coklu_kampanya_tara ile ayrı sanal kayıtlara bölündü. Sunucu charset belirtmiyor, ortak._encoding_duzelt ile düzeltildi. NOT: Gold eşleştirmedeki 'TOM-002' karışıklığı 9 Ağustos'ta gold_eslesme.py'de düzeltildi (scraper hatası değildi)"
Adil Katılım,Hariç tutuldu,—,https://adilkatilim.com.tr,—,200,—,0,—,Zeynep,2026-08-06,"29 Temmuz VE 6 Ağustos'ta tekrar kontrol edildi: durum DEĞİŞMEDİ - hâlâ yalnızca Hakkımızda + ücret bilgilendirme PDF'i var, kampanya/ürün sayfası yok. Periyodik olarak tekrar kontrol edilmeli"
—,"TOPLAM (9 banka, Adil hariç)",—,—,—,—,—,263,70,—,2026-08-11,"JS scraper (Playwright/Chromium) 9 Ağustos'ta quotes.toscrape.com/js/ ile uçtan uca doğrulandı - kod çalışıyor, hiçbir katılım bankası JS gerektirmedi. OCR (Tesseract) kasıtlı kurulmadı: 14 PDF'in hiçbiri taranmış çıkmadı, tespit mekanizması sentetik veriyle test edildi"
